Data,RF,Platt,ISO,Rank,CRF,VA,Beta,Elkan,tlr
spambase,0.9465604634322954,0.9469949312092686,0.9459811730629978,0.9396089790007242,0.9465604634322954,0.3968139029688631,0.9465604634322954,0.9291817523533672,0.9281679942070962
climate,0.9197530864197532,0.9382716049382716,0.934567901234568,0.888888888888889,0.9197530864197532,0.9197530864197532,0.9333333333333332,0.9197530864197532,0.9197530864197532
QSAR,0.8479495268138801,0.8447949526813879,0.8454258675078865,0.8429022082018929,0.8479495268138801,0.3350157728706625,0.8454258675078863,0.8132492113564668,0.8157728706624606
bank,0.9854368932038836,0.9854368932038836,0.9844660194174756,0.9684466019417476,0.9854368932038836,0.4383495145631068,0.9854368932038836,0.9771844660194174,0.9849514563106796
climate,0.9197530864197532,0.9382716049382716,0.934567901234568,0.888888888888889,0.9197530864197532,0.9197530864197532,0.9333333333333332,0.9197530864197532,0.9197530864197532
parkinsons,0.8440677966101695,0.8610169491525423,0.8508474576271187,0.8237288135593219,0.8440677966101695,0.752542372881356,0.8440677966101695,0.8338983050847457,0.7593220338983052
vertebral,0.8494623655913978,0.8580645161290322,0.832258064516129,0.7849462365591398,0.8494623655913978,0.3032258064516129,0.853763440860215,0.7870967741935484,0.821505376344086
ionosphere,0.930188679245283,0.918867924528302,0.9132075471698112,0.9169811320754718,0.930188679245283,0.6207547169811322,0.920754716981132,0.879245283018868,0.881132075471698
diabetes,0.7593073593073593,0.7601731601731602,0.7662337662337663,0.7662337662337663,0.7593073593073593,0.3567099567099567,0.7670995670995671,0.7316017316017316,0.7220779220779221
breast,0.9461988304093568,0.935672514619883,0.936842105263158,0.9333333333333332,0.9461988304093568,0.3614035087719298,0.9380116959064326,0.9181286549707602,0.936842105263158
blod,0.7626666666666667,0.760888888888889,0.7591111111111111,0.7573333333333334,0.7626666666666667,0.2551111111111112,0.760888888888889,0.7031111111111111,0.7466666666666667
Mean,0.8828495231017996,0.8862230854966267,0.8821371740344173,0.8646629256378645,0.8828495231017996,0.5144938941953853,0.8844250906506488,0.8556548602317747,0.8578131521583253
Rank,3.3181818181818183,2.727272727272727,3.909090909090909,6.681818181818182,3.3181818181818183,8.454545454545455,2.909090909090909,7.090909090909091,6.590909090909091
