Data,RF,Platt,ISO,Rank,CRF,VA,Beta,Elkan,tlr
spambase,0.0484534844421418,0.0408253865800075,0.0417524874847592,0.0457291199412216,0.0435638920736439,0.0416453145486243,0.0409176706194858,0.0630236367763541,0.0568179580014482
climate,0.0571818174698816,0.0495777744998421,0.052315211250339,0.1109510753057653,0.0572248887752236,0.0517021308606107,0.0504838559065407,0.0642964809306779,0.0794709876543209
QSAR,0.1098163895679637,0.1091642136234259,0.1127307078218754,0.1183536652128744,0.1095962255569603,0.1133536875651826,0.1094278926723992,0.1355496816890868,0.131405930599369
bank,0.0143268651223893,0.0114668564827984,0.0124893461611787,0.0239827494175647,0.0125962485369564,0.0149396816379045,0.0117549387272113,0.0220451241550249,0.0128278640776699
climate,0.0571818174698816,0.0495777744998421,0.052315211250339,0.1109510753057653,0.0572248887752236,0.0517021308606107,0.0504838559065407,0.0642964809306779,0.0794709876543209
parkinsons,0.1037946305988876,0.0995371536027117,0.1161119140878014,0.126843671103691,0.1028918004087557,0.1155042763761164,0.1149116021234672,0.1131510176427093,0.1767345762711864
vertebral,0.1067762408620927,0.1075138054372021,0.1178086707125362,0.1248119580311068,0.103970409945484,0.121829637104159,0.1083313528268923,0.1389251661831678,0.1249972043010752
ionosphere,0.0663103823390588,0.0608180316296412,0.0635748867149423,0.0833668311290215,0.0578568959980176,0.0764744913583119,0.0610570943023876,0.0983390952061829,0.0914932075471698
diabetes,0.1590353020280738,0.1589234301043598,0.164075891561153,0.1634546347717858,0.1587698313926975,0.1654833172608157,0.1587046123623226,0.1819658719011549,0.1907512554112554
breast,0.0415373307022341,0.042516885892383,0.0503197221068163,0.0536120416613362,0.0414872245524702,0.0575756955048653,0.0471809201583146,0.055721588545588,0.043979298245614
blod,0.1675610116664859,0.1687985455952794,0.1707961283991347,0.1736578501225168,0.1686582997921324,0.1722864364143756,0.168557426454796,0.1984574173962429,0.2357688
Mean,0.08472502475173553,0.08170180526795393,0.08675365250462502,0.10324678836387723,0.08307641870977865,0.0893178908628706,0.08380102018730527,0.10325196012335157,0.11124709725122087
Rank,4.0,1.9090909090909092,4.818181818181818,7.363636363636363,3.090909090909091,5.636363636363637,2.727272727272727,7.818181818181818,7.636363636363637
