Data,RF,Platt,ISO,Rank,CRF,VA,Beta,Elkan,tlr
spambase,0.0721229494916044,0.0139061562038608,0.0161834368747,0.0188566940378523,0.0371715791660302,0.0180065727008017,0.01387641678676,0.0774950521942438,0.0257031136857349
climate,0.0623863959985671,0.0422738567901269,0.0466457715369994,0.1391100826892229,0.0620498148750468,0.0418334718483583,0.0368934837649592,0.0613757545297426,0.0795432098765432
QSAR,0.0646312152719897,0.054247818517956,0.0639932967004536,0.060352701600476,0.0603154019321839,0.0672905542602924,0.054347785451913,0.0572152330288776,0.0644290220820189
bank,0.0375896524243434,0.012641815180542,0.0086930609755178,0.0171237569991044,0.0209545423128832,0.0277475587702884,0.0079953815125847,0.0369544684614833,0.019631067961165
climate,0.0623863959985671,0.0422738567901269,0.0466457715369994,0.1391100826892229,0.0620498148750468,0.0418334718483583,0.0368934837649592,0.0613757545297426,0.0795432098765432
parkinsons,0.1204954140811258,0.0814422746190572,0.0913851383713503,0.1074777480115633,0.11889827756069,0.1199716667513277,0.1113874895745091,0.1087630434767099,0.1785423728813559
vertebral,0.0924926358151973,0.0766615890456465,0.087202862822267,0.0923474991905088,0.0862674376207415,0.1091017187222561,0.0750835849384229,0.1121626143883165,0.0943870967741935
ionosphere,0.0970673483767526,0.061947319527744,0.055981613081632,0.1052041378207073,0.0684731417024127,0.1038915132387112,0.0680640659172313,0.0881057449005647,0.0878490566037735
diabetes,0.0769625719435466,0.0778437944803378,0.0849541142588444,0.078765692348875,0.0768584335618136,0.0884466752318625,0.085203726747436,0.0703923610123062,0.1195411255411254
breast,0.0403983968857092,0.040447856078178,0.0386633041025178,0.0421421888255691,0.0334633764992755,0.0704970364412887,0.0372598560254693,0.0386238995789047,0.0265847953216374
blod,0.0696843709336207,0.0800235104332776,0.0759405259543682,0.0902720561498527,0.0679558677693764,0.085574300760069,0.0793501573662851,0.0899180132179147,0.2246311111111111
Mean,0.07238339520191127,0.05306453160607761,0.056026263292331804,0.08097842185117769,0.06313251707959097,0.07038132187032857,0.0551232210773209,0.07294381266534605,0.09094410742865472
Rank,6.454545454545454,3.0,3.6363636363636362,6.363636363636363,4.2727272727272725,6.363636363636363,2.6363636363636362,5.545454545454546,6.7272727272727275
